education,marital-status,workclass
Bachelors,Never-married,State-gov
Bachelors,Married-civ-spouse,Self-emp-not-inc
HS-grad,Divorced,Private
11th,Married-civ-spouse,Private
Bachelors,Married-civ-spouse,Private
Masters,Married-civ-spouse,Private
9th,Married-spouse-absent,Private
HS-grad,Married-civ-spouse,Self-emp-not-inc
Masters,Never-married,Private
Bachelors,Married-civ-spouse,Private
Some-college,Married-civ-spouse,Private
Bachelors,Married-civ-spouse,State-gov
Bachelors,Never-married,Private
Assoc-acdm,Never-married,Private
Assoc-voc,Married-civ-spouse,Private
7th-8th,Married-civ-spouse,Private
HS-grad,Never-married,Self-emp-not-inc
HS-grad,Never-married,Private
11th,Married-civ-spouse,Private
Masters,Divorced,Self-emp-not-inc
Doctorate,Married-civ-spouse,Private
HS-grad,Separated,Private
9th,Married-civ-spouse,Federal-gov
11th,Married-civ-spouse,Private
HS-grad,Divorced,Private
Bachelors,Married-civ-spouse,Local-gov
HS-grad,Never-married,Private
HS-grad,Divorced,Private
HS-grad,Married-civ-spouse,Private
Assoc-acdm,Never-married,Local-gov
Some-college,Never-married,Private
Bachelors,Divorced,Private
Some-college,Married-civ-spouse,Federal-gov
Some-college,Married-civ-spouse,State-gov
11th,Never-married,Private
Some-college,Never-married,Private
HS-grad,Married-AF-spouse,Private
Some-college,Married-civ-spouse,Private
Assoc-acdm,Married-civ-spouse,Self-emp-not-inc
9th,Married-civ-spouse,Private
Bachelors,Married-civ-spouse,Self-emp-not-inc
Bachelors,Married-civ-spouse,Private
HS-grad,Separated,Private
HS-grad,Never-married,Private
Bachelors,Married-civ-spouse,Federal-gov
HS-grad,Married-civ-spouse,Private
Masters,Divorced,Private
Assoc-voc,Married-civ-spouse,State-gov
Assoc-voc,Never-married,Private
Some-college,Married-civ-spouse,Private
HS-grad,Never-married,Private
Prof-school,Married-civ-spouse,Private
Bachelors,Divorced,Federal-gov
HS-grad,Divorced,Self-emp-inc
Some-college,Married-civ-spouse,Private
5th-6th,Married-civ-spouse,Private
Assoc-voc,Married-civ-spouse,Private
HS-grad,Married-civ-spouse,Private
HS-grad,Married-civ-spouse,Private
Bachelors,Married-civ-spouse,Private
HS-grad,Married-civ-spouse,Private
Doctorate,Married-civ-spouse,Private
Some-college,Divorced,Private
HS-grad,Married-civ-spouse,Private
Some-college,Divorced,Private
HS-grad,Married-civ-spouse,Private
Some-college,Married-civ-spouse,Self-emp-inc
Some-college,Never-married,Private
Bachelors,Separated,Private
Bachelors,Married-civ-spouse,Self-emp-not-inc
Some-college,Never-married,Private
Some-college,Married-civ-spouse,Private
HS-grad,Never-married,Private
Assoc-acdm,Married-civ-spouse,Private
11th,Never-married,Private
7th-8th,Married-civ-spouse,Local-gov
HS-grad,Never-married,Private
Bachelors,Married-civ-spouse,Private
HS-grad,Married-civ-spouse,Private
HS-grad,Married-civ-spouse,Private
HS-grad,Divorced,Private
HS-grad,Divorced,Private
HS-grad,Married-civ-spouse,Local-gov
Masters,Married-civ-spouse,Private
9th,Never-married,Private
Doctorate,Never-married,Federal-gov
Assoc-voc,Married-civ-spouse,Private
Some-college,Divorced,Private
Some-college,Divorced,Private
HS-grad,Married-civ-spouse,Private
Bachelors,Married-civ-spouse,Local-gov
Some-college,Never-married,Local-gov
Doctorate,Married-civ-spouse,Self-emp-not-inc
Some-college,Married-civ-spouse,Private
Assoc-acdm,Divorced,Private
HS-grad,Never-married,Federal-gov
